specobjid,objid,ra,dec,p_el_debiased,p_cs_debiased,spiral,elliptical,petroR50_r,petroR90_r,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z
734121959503194112,1237672794499317861,3.8499584,-11.236278,0.0700000002980232,0.9300000071525574,1,0,2.0781817,4.6617517,19.623493,18.166773,17.36474,16.91254,16.592407,0.18767561,0.13808994,0.10015434,0.075944,0.053845245
734111239264823296,1237673017835454573,4.0347085,-11.202389,0.0680000036954879,0.9319999814033508,1,0,3.2851074,7.522805,18.558548,17.42284,16.89722,16.63619,16.43653,0.19993794,0.14711243,0.10669821,0.08090602,0.057363376
734136528032262144,1237652629100232873,3.8252084,-10.646222,0.0189999993890523,0.9409999847412108,1,0,3.9024556,7.1093225,19.08946,17.937675,17.582346,17.271868,17.248293,0.19085985,0.14043286,0.10185362,0.07723252,0.05475882
735290190725146624,1237672796110192681,5.202125,-11.1837225,0.0450000017881393,0.9549999833106996,1,0,2.1013803,5.5232162,20.397179,18.723341,17.673996,17.151987,16.745821,0.18999982,0.13980006,0.10139467,0.07688451,0.054512072
734098320003196928,1237673018372391088,4.5550833,-11.142445,0.0489999987185001,0.9509999752044678,1,0,2.51799,5.529179,19.132061,17.797918,17.136656,16.684355,16.468107,0.19720772,0.14510357,0.10524121,0.079801224,0.056580063
734125532915984384,1237652629100429386,4.305917,-10.700861,0.0399999991059303,0.959999978542328,1,0,2.7065814,6.728523,19.810322,18.220905,17.405828,16.956741,16.640572,0.20259733,0.14906919,0.10811741,0.08198216,0.05812637
734115362433427456,1237672795572928771,4.3983335,-10.665833,0.0270000007003545,0.9729999899864196,1,0,3.5592973,8.125206,19.421108,18.261877,17.724197,17.4158,17.211136,0.19596829,0.14419161,0.10457978,0.07929968,0.05622446
734089798788081664,1237672796109996105,4.9030833,-10.794,0.0199999995529651,0.9800000190734864,1,0,2.5062668,5.4253116,19.400387,17.938002,17.14787,16.664354,16.363195,0.1817219,0.13370924,0.0969771,0.073534794,0.052137088
734217617014810624,1237652900749836515,3.9412916,-9.862833,0.0,0.9549999833106996,1,0,3.6044278,8.400054,19.27485,18.239376,17.761545,17.46278,17.232038,0.20611565,0.15165794,0.10999499,0.08340587,0.0591358
734212669212485632,1237672796109144133,4.0530415,-9.057417,0.9629999995231628,0.0,0,1,2.347965,6.569925,20.027668,18.091454,16.960913,16.470146,16.08053,0.22476739,0.16538171,0.11994861,0.0909534,0.06448709
734137902421796864,1237652946916737117,3.9519167,-10.604195,0.0610000006854534,0.9390000104904176,1,0,4.11647,8.445683,17.950598,16.596588,16.089209,15.760276,15.559137,0.19166078,0.14102218,0.10228105,0.077556625,0.05498861
735277546341427200,1237652629100953695,5.48975,-10.665916,0.930999994277954,0.0439999997615814,0,1,2.3035462,6.8122663,20.3014,18.180717,17.043036,16.55433,16.214167,0.19038609,0.14008427,0.1016008,0.077040814,0.054622896
735283043899566080,1237652629101019353,5.61975,-10.7033615,0.0469999983906745,0.953000009059906,1,0,3.0914593,5.787157,19.311014,17.848936,17.109161,16.718185,16.460203,0.17647931,0.1298518,0.09417936,0.07141335,0.05063296
735288816335611904,1237652629637693591,5.261542,-10.290667,0.9380000233650208,0.0,0,1,1.9017345,6.0344324,20.944988,18.921251,17.583967,17.0742,16.690102,0.18886329,0.13896382,0.10078815,0.076424606,0.054185998
734258848700852224,1237652630711500871,5.36375,-9.5413885,0.0379999987781047,0.9200000166893004,1,0,2.1180663,5.449925,20.086163,18.41422,17.459698,16.975029,16.62699,0.20955501,0.15418859,0.11183042,0.08479762,0.060122572
735329498265839616,1237652630711631931,5.617,-9.502694,0.0260000005364418,0.9739999771118164,1,0,3.1420157,6.9921083,19.179693,18.140364,17.57459,17.224897,17.0122,0.277618,0.20426868,0.14815268,0.11233969,0.079650246
734218716526438400,1237652947990413479,3.86575,-9.728695,0.0689999982714653,0.930999994277954,1,0,2.8605447,6.9187284,18.54935,17.124565,16.382696,15.91785,15.600819,0.21469988,0.15797412,0.11457602,0.08687952,0.061598666
734210745067137024,1237652948527415386,4.0735,-9.2295,0.9110000133514404,0.0890000015497207,0,1,1.8712072,5.8799157,20.480242,18.66149,17.441963,16.909914,16.628382,0.22232947,0.1635879,0.1186476,0.08996688,0.06378764
734240706758993920,1237672796109537398,4.471208,-9.972555,0.0340000018477439,0.9449999928474426,1,0,2.8868387,8.24928,19.097208,17.353235,16.441332,15.941229,15.55813,0.22136712,0.16287982,0.11813403,0.08957746,0.063511536
735310256812353536,1237672796109537408,4.626125,-9.914444,0.0799999982118606,0.9200000166893004,1,0,3.8671577,7.3759527,18.254807,16.920639,16.245354,15.851146,15.602531,0.22333261,0.16432601,0.11918294,0.09037281,0.06407545
