specobjid,objid,ra,dec,p_el_debiased,p_cs_debiased,spiral,elliptical,petroR50_r,petroR90_r,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z
731868785383860224,1237652899137585226,0.16608334,-11.157695,0.930999994277954,0.0340000018477439,0,1,2.1502087,6.1395407,18.485346,16.644926,15.8042345,15.412657,15.102998,0.17784399,0.13085592,0.09490762,0.071965575,0.05102449
731846795151304704,1237652899137912902,0.8743333,-11.076861,0.0219999998807907,0.9390000104904176,1,0,2.3188496,5.417619,19.390738,18.2107,17.703043,17.378044,17.15033,0.18903965,0.13909358,0.10088226,0.07649597,0.054236595
731850643442001920,1237652629098922207,0.8647083,-10.676444,0.0230000000447034,0.9350000023841858,1,0,4.1346283,8.0213,18.761671,17.302372,16.677551,16.364363,16.158543,0.21142823,0.15556689,0.11283008,0.085555635,0.06066001
733018324757145600,1237652899138306245,1.852,-11.135777,0.0160000007599592,0.9660000205039978,1,0,2.2902856,6.0541105,20.528738,18.682135,17.682434,17.170055,16.792994,0.17456262,0.12844151,0.0931565,0.070637755,0.05008305
732995784768776192,1237652899138502691,2.3285832,-11.088445,0.9259999990463256,0.0,0,1,1.6512195,5.1385636,20.405811,18.807117,17.569687,17.064232,16.71002,0.18564838,0.1365983,0.099072486,0.07512367,0.05326362
732994135501334528,1237652899138502808,2.282125,-11.067306,0.0460000000894069,0.9319999814033508,1,0,2.580469,5.787933,20.506521,18.916899,17.844133,17.311487,16.942371,0.18819942,0.13847534,0.10043387,0.07615596,0.053995527
731864387337349120,1237652900211523730,0.63058335,-10.294917,0.0260000005364418,0.9739999771118164,1,0,2.5211961,6.9072294,19.8773,18.052914,17.028608,16.549385,16.15901,0.24241222,0.1783646,0.1293649,0.09809348,0.0695495
733018874512959488,1237652629099380902,1.9224167,-10.706472,0.9020000100135804,0.0979999974370002,0,0,1.8616213,5.5497427,19.468214,17.570824,16.556164,16.132095,15.791356,0.2185269,0.16079001,0.11661834,0.088428155,0.06269666
733010628175751168,1237652629099380948,1.9260833,-10.669194,0.0140000004321336,0.968999981880188,1,0,2.2069056,6.084847,19.977736,18.469725,17.54865,17.071152,16.691313,0.20774752,0.15285864,0.11086585,0.08406621,0.059603993
731852017831536640,1237652900211654853,1.0179583,-10.364972,0.0130000002682209,0.9869999885559082,1,0,1.654468,4.945214,20.602684,18.689104,17.697691,17.214361,16.77324,0.22693399,0.16697587,0.12110484,0.09183013,0.0651087
733022722803656704,1237652900212047983,1.8222916,-10.284223,0.0230000000447034,0.9769999980926514,1,0,2.0355203,5.2224503,20.742535,18.792616,17.824419,17.319517,16.924698,0.1782372,0.13114524,0.095117465,0.0721247,0.051137306
733056807664117760,1237652900748525657,0.9682083,-9.9435835,0.0610000006854534,0.9390000104904176,1,0,2.184801,5.7019258,20.313372,18.365826,17.41856,16.919308,16.54448,0.16390677,0.12060104,0.087469935,0.066325806,0.047025822
733022447925749760,1237652900212048065,1.827875,-10.353583,0.096000000834465,0.9039999842643738,1,0,2.5011053,5.029778,19.590702,18.314531,17.628077,17.28638,17.078247,0.18268037,0.13441448,0.09748859,0.07392264,0.052412078
733006505007147008,1237652900212244526,2.26975,-10.323861,0.0,1.0,1,0,2.571507,5.4660044,18.544212,17.443266,16.991707,16.667332,16.526812,0.1871159,0.1376781,0.09985564,0.07571751,0.05368466
731974063622219776,1237652901285069012,0.271125,-9.484361,0.0590000003576278,0.9229999780654908,1,0,2.5883276,4.767413,19.40673,18.249043,17.536686,17.170084,16.988287,0.2107836,0.15509257,0.11248606,0.085294776,0.06047506
733102712274577408,1237672793424724145,2.183875,-9.919972,0.9049999713897704,0.0949999988079071,0,0,2.0424733,6.50785,20.954018,18.807499,17.490425,16.959555,16.61039,0.23848051,0.1754717,0.1272667,0.09650249,0.06842147
731957845825710080,1237652901821874318,0.019166667,-8.943778,0.0750000029802322,0.925000011920929,1,0,3.0670393,6.722594,18.375017,17.546513,17.163803,16.972952,16.881645,0.18721917,0.1377541,0.09991076,0.0757593,0.05371429
733007329640867840,1237652629099577571,2.3849168,-10.621805,0.0829999968409538,0.9169999957084656,1,0,1.9792657,5.6900377,19.88449,17.95069,16.831568,16.334475,15.920399,0.16682453,0.12274791,0.08902702,0.06750649,0.047862943
732989462576916480,1237672793425117370,2.6041667,-10.699194,0.0209999997168779,0.9610000252723694,1,0,1.9045888,5.9781604,19.450815,18.005856,17.19831,16.714867,16.353334,0.18614313,0.13696234,0.09933651,0.07532387,0.053405564
732986438919940096,1237672793425182867,2.6276667,-10.793639,0.0149999996647238,0.9850000143051147,1,0,2.212238,5.5671988,19.85938,18.461285,17.616571,17.160093,16.726067,0.18482935,0.13599569,0.09863541,0.07479224,0.053028636
733050485472258048,1237652901822398533,1.2343333,-8.9534445,0.0140000004321336,0.9860000014305116,1,0,2.2533553,6.8566628,20.319485,18.5632,17.57682,17.061895,16.6186,0.16145256,0.11879525,0.08616023,0.065332696,0.046321694
732991386722265088,1237652900212441200,2.7821667,-10.276834,0.9589999914169312,0.0410000011324882,0,1,1.9860315,6.2514477,21.106207,18.778652,17.39072,16.815172,16.426945,0.18530314,0.13634428,0.09888825,0.07498396,0.053164564
844426342018607104,1237652942101807385,0.640125,14.082639,0.0070000002160668,0.9610000252723694,1,0,3.1533225,6.8883395,18.49985,17.254164,16.679958,16.31568,16.094095,0.4053116,0.29822442,0.21629724,0.16401164,0.1162863
845632781420619776,1237652942101872940,0.6737083,14.028194,0.0080000003799796,0.949999988079071,1,0,2.8183346,6.641719,19.680492,18.434004,17.920155,17.616169,17.550188,0.42434865,0.3122317,0.22645648,0.17171508,0.12174813
844468398338369536,1237652942638481722,0.17570834,14.506416,0.0219999998807907,0.977999985218048,1,0,2.491908,7.3098946,19.541113,17.592312,16.577694,16.065233,15.605545,0.24510458,0.18034562,0.1308017,0.099182956,0.070321955
733108209832716288,1237672793961267312,2.2546666,-9.03475,0.0379999987781047,0.9259999990463256,1,0,4.2642827,8.290096,17.766937,16.617804,16.126278,15.829009,15.5826645,0.19873968,0.14623076,0.10605875,0.080421135,0.057019588
845626184350853120,1237652942638743738,0.65741664,14.534972,0.050000000745058,0.949999988079071,1,0,2.1689372,5.144113,20.793938,18.971039,17.893875,17.352655,17.01862,0.40809828,0.30027485,0.21778436,0.16513929,0.11708581
845623710449690624,1237652942638809115,0.85845834,14.45475,0.0689999982714653,0.930999994277954,1,0,3.5226634,7.150844,19.396803,17.806011,16.913355,16.410116,16.09573,0.4409971,0.32448146,0.23534103,0.17845197,0.12652467
844443384448837632,1237652942638809416,0.85683334,14.4771385,0.0,1.0,1,0,3.055528,5.5011353,19.26967,18.143105,17.531538,17.1346,17.11172,0.44007576,0.32380357,0.23484935,0.17807916,0.12626034
844432389332559872,1237652942638809311,0.950125,14.338972,0.0089999996125698,0.99099999666214,1,0,3.4697564,7.8760753,19.94861,18.626238,17.83963,17.382778,17.06618,0.57120484,0.42028707,0.30482724,0.23114127,0.16388205
733124977385039872,1237652900749377630,2.9385834,-9.909472,0.0320000015199184,0.9679999947547911,1,0,2.9888413,6.4908304,18.585617,17.349932,16.786583,16.429161,16.191263,0.18114807,0.13328703,0.096670866,0.07330259,0.051972453
